epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.59788,66.24117,84.46275,0.45036,88.93999,97.50000
002,0.93024,76.90430,91.51896,0.38233,89.98000,97.80000
003,0.85368,78.24878,92.14329,0.35952,90.14000,97.74000
004,0.81927,78.94884,92.48637,0.34471,90.62000,97.92000
005,0.78094,79.81889,92.82635,0.35788,90.24000,97.82000
006,0.75473,80.40072,93.10606,0.33481,90.92000,97.96000
007,0.73107,81.08610,93.26524,0.32603,90.72000,97.88000
008,0.73676,80.78165,93.27296,0.31951,91.25999,98.00000
009,0.73201,80.92847,93.26524,0.31966,91.20000,98.10000
010,0.71407,81.32563,93.50168,0.32711,91.14000,98.06000
011,0.70751,81.59762,93.55422,0.31048,91.32000,98.14000
012,0.70907,81.42067,93.48622,0.32227,90.60000,97.89999
013,0.68108,82.21500,93.84785,0.30349,91.56000,98.14000
014,0.66836,82.44912,94.00161,0.30291,91.68000,98.39999
