epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,3.95583,9.10152,26.35491,3.09561,22.08000,52.14000
002,2.39057,38.98762,68.05545,0.96170,74.78000,92.75999
003,1.05917,72.28284,89.99058,0.46971,87.25999,97.12000
004,0.76181,79.75320,93.40277,0.36877,89.92000,97.89999
005,0.66682,82.13850,94.32382,0.34404,90.25999,98.14000
006,0.61788,83.48453,94.79285,0.31446,91.24000,98.28000
007,0.58588,84.30203,95.07796,0.30478,91.18000,98.36000
008,0.56116,84.86223,95.38550,0.29196,91.82000,98.56000
009,0.53753,85.66273,95.58485,0.29298,91.62000,98.36000
010,0.52448,85.87214,95.71930,0.28450,91.92000,98.32000
011,0.51266,86.14026,95.80893,0.27806,92.06000,98.56000
012,0.50338,86.49415,95.88929,0.27544,92.54000,98.50000
013,0.49101,86.79782,95.90397,0.27120,92.54000,98.57999
014,0.47936,87.01649,96.15432,0.26965,92.54000,98.54000
015,0.47126,87.32479,96.09174,0.26635,92.64000,98.64000
016,0.46483,87.49556,96.17442,0.25992,92.98000,98.68000
017,0.45819,87.66014,96.32895,0.26351,92.86000,98.57999
018,0.45707,87.73664,96.28568,0.25793,93.04000,98.54000
019,0.44756,87.89117,96.35600,0.25449,92.82000,98.66000
020,0.43849,88.11062,96.53062,0.25533,92.82000,98.64000
021,0.43706,88.18403,96.49199,0.25505,92.98000,98.68000
022,0.43421,88.32542,96.49353,0.25175,92.92000,98.75999
023,0.43269,88.33315,96.49508,0.25469,92.92000,98.66000
024,0.42713,88.45679,96.54530,0.25132,92.96000,98.66000
025,0.42568,88.47070,96.58162,0.25115,93.04000,98.64000
026,0.42670,88.43669,96.55844,0.25041,93.10000,98.74000
027,0.42407,88.55415,96.55767,0.24976,93.12000,98.70000
028,0.42111,88.64610,96.56848,0.24920,93.12000,98.70000
029,0.42270,88.65923,96.56771,0.24930,93.07999,98.72000
030,0.42200,88.62137,96.58935,0.24919,93.04000,98.70000
