epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.36312,68.77405,86.07922,0.76931,79.00000,94.66000
002,0.79976,79.31277,92.98475,0.39880,88.86000,97.50000
003,0.72266,81.12318,93.80071,0.37467,89.64000,97.68000
004,0.70357,81.49639,93.92898,0.35699,90.00000,97.82000
005,0.65300,82.69252,94.52627,0.39427,89.24000,97.57999
006,0.64449,82.96219,94.62904,0.34461,90.40000,97.84000
007,0.59369,84.26958,95.13360,0.33188,91.04000,98.04000
008,0.58982,84.35380,95.01460,0.31495,91.42000,98.22000
009,0.56143,85.17517,95.40868,0.31047,91.39999,98.16000
010,0.55735,85.27639,95.38473,0.30715,91.30000,98.22000
011,0.52052,86.16344,95.78652,0.28426,91.78000,98.48000
012,0.51057,86.46402,95.89702,0.28025,92.06000,98.56000
013,0.50019,86.76382,95.96424,0.28454,92.04000,98.36000
014,0.49749,86.92918,96.04228,0.27907,92.34000,98.52000
015,0.49308,87.01186,96.08788,0.27825,92.00000,98.52000
